bot_type,run_id,q,bot_pos_init,button_pos_init,fire_init,steps,result,final_frame,seed_value
Bot 1,90495570-2c83-4483-8c86-fd7a3741520f,0.0,"(4, 31)","(28, 27)","(8, 12)",38,Success,C:/Users/shaiv/Downloads/ai_project_1-main/final_frames/90495570-2c83-4483-8c86-fd7a3741520f.png,188
Bot 2,13db5d89-9cf8-473a-997f-99f04614b0e1,0.0,"(4, 31)","(28, 27)","(8, 12)",38,Success,C:/Users/shaiv/Downloads/ai_project_1-main/final_frames/13db5d89-9cf8-473a-997f-99f04614b0e1.png,188
Bot 3,8d167568-0468-48b8-8acb-bd94ff0737a2,0.0,"(4, 31)","(28, 27)","(8, 12)",38,Success,C:/Users/shaiv/Downloads/ai_project_1-main/final_frames/8d167568-0468-48b8-8acb-bd94ff0737a2.png,188
Bot 4,dcfaa18a-9015-4630-bbaf-d4a40d403d7d,0.0,"(4, 31)","(28, 27)","(8, 12)",38,Success,C:/Users/shaiv/Downloads/ai_project_1-main/final_frames/dcfaa18a-9015-4630-bbaf-d4a40d403d7d.png,188
Bot 1,e109b304-d742-4e87-a6a4-fad4f79f54cb,0.0,"(7, 12)","(26, 35)","(13, 29)",44,Success,C:/Users/shaiv/Downloads/ai_project_1-main/final_frames/e109b304-d742-4e87-a6a4-fad4f79f54cb.png,5691
Bot 2,39f91353-ba79-4f09-b6c5-39f50ecb0d68,0.0,"(7, 12)","(26, 35)","(13, 29)",44,Success,C:/Users/shaiv/Downloads/ai_project_1-main/final_frames/39f91353-ba79-4f09-b6c5-39f50ecb0d68.png,5691
Bot 3,3e9b4a20-3e8f-4f46-addd-4d69fc19f25f,0.0,"(7, 12)","(26, 35)","(13, 29)",44,Success,C:/Users/shaiv/Downloads/ai_project_1-main/final_frames/3e9b4a20-3e8f-4f46-addd-4d69fc19f25f.png,5691
Bot 4,034cc1b9-9f04-4d05-ad50-29d98ad3a460,0.0,"(7, 12)","(26, 35)","(13, 29)",44,Success,C:/Users/shaiv/Downloads/ai_project_1-main/final_frames/034cc1b9-9f04-4d05-ad50-29d98ad3a460.png,5691
Bot 1,42264f73-8d35-48da-9606-c2259f32fa27,0.0,"(29, 6)","(3, 12)","(16, 29)",34,Success,C:/Users/shaiv/Downloads/ai_project_1-main/final_frames/42264f73-8d35-48da-9606-c2259f32fa27.png,245
Bot 2,92c378e7-f683-40e1-95a6-4ac33afb2bc1,0.0,"(29, 6)","(3, 12)","(16, 29)",34,Success,C:/Users/shaiv/Downloads/ai_project_1-main/final_frames/92c378e7-f683-40e1-95a6-4ac33afb2bc1.png,245
